Button Pressed, 2020-06-23T19:29:02.522919400, Play
Button Pressed, 2020-06-23T19:29:04.615452800, nurse
Button Pressed, 2020-06-23T19:29:08.360612800, Strength in Numbers
Card Played, 2020-06-23T19:29:08.362606700, Strength in Numbers
Button Pressed, 2020-06-23T19:29:11.246898100, end turn
Next Turn, 2020-06-23T19:29:11.247860900, 
Button Pressed, 2020-06-23T19:29:11.390477200, end turn
Next Turn, 2020-06-23T19:29:11.391499600, 
Button Pressed, 2020-06-23T19:29:13.351868500, Poisoned Dagger
Card Played, 2020-06-23T19:29:13.352864500, Poisoned Dagger
Button Pressed, 2020-06-23T19:29:15.928241700, Goldshire Footman
Card Played, 2020-06-23T19:29:15.929224300, Goldshire Footman
quit, 2020-06-23T19:29:25.777663, quit the game
login, 2020-06-23T19:30:30.371454900,  as  
Button Pressed, 2020-06-23T19:30:32.278278700, Collections
Button Pressed, 2020-06-23T19:30:35.132183900, New Deck 1
Button Pressed, 2020-06-23T19:30:36.487440, Play
Button Pressed, 2020-06-23T19:30:38.381106300, mana jump
Button Pressed, 2020-06-23T19:30:41.377692900, Goldshire Footman
Card Played, 2020-06-23T19:30:41.378684900, Goldshire Footman
quit, 2020-06-23T19:30:48.745784600, quit the game
login, 2020-06-23T19:44:44.780767,  as  
Button Pressed, 2020-06-23T19:44:46.212085600, Collections
quit, 2020-06-23T19:45:15.992740, quit the game
login, 2020-06-23T19:51:13.729589100,  as  
Button Pressed, 2020-06-23T19:51:14.954332400, Collections
Button Pressed, 2020-06-23T19:51:17.911810700, New Deck 1
Button Pressed, 2020-06-23T19:51:19.495807900, Play
Button Pressed, 2020-06-23T19:51:23.295561900, zombie
Button Pressed, 2020-06-23T19:51:26.446026900, zombie
quit, 2020-06-23T19:52:04.641000700, quit the game
login, 2020-06-23T19:52:22.837273100,  as  
Button Pressed, 2020-06-23T19:52:23.601990300, Collections
Button Pressed, 2020-06-23T19:52:26.407485800, New Deck 1
Button Pressed, 2020-06-23T19:52:29.395397700, Play
Button Pressed, 2020-06-23T19:52:32.651678900, draw twice
quit, 2020-06-23T19:54:21.149296800, quit the game
login, 2020-06-23T19:54:27.421079900,  as  
Button Pressed, 2020-06-23T19:54:28.381865600, Collections
Button Pressed, 2020-06-23T19:54:31.529519700, New Deck 1
Button Pressed, 2020-06-23T19:54:32.867376100, Play
Button Pressed, 2020-06-23T19:54:35.080823100, draw twice
Button Pressed, 2020-06-23T19:54:42.553596, Goldshire Footman
Card Played, 2020-06-23T19:54:42.555604900, Goldshire Footman
Button Pressed, 2020-06-23T19:54:55.969575500, end turn
Next Turn, 2020-06-23T19:54:55.970572300, 
Button Pressed, 2020-06-23T19:54:56.211938300, end turn
Next Turn, 2020-06-23T19:54:56.211938300, 
Button Pressed, 2020-06-23T19:54:56.477268400, end turn
Next Turn, 2020-06-23T19:54:56.478230, 
Button Pressed, 2020-06-23T19:54:56.503163500, end turn
Next Turn, 2020-06-23T19:54:56.504163, 
Button Pressed, 2020-06-23T19:54:58.998177600, Sunreaver Warmage
Card Played, 2020-06-23T19:54:58.999163700, Sunreaver Warmage
quit, 2020-06-23T19:59:07.403727500, quit the game
login, 2020-06-23T19:59:36.355279500,  as  
Button Pressed, 2020-06-23T19:59:38.543657, Collections
Button Pressed, 2020-06-23T19:59:41.602931300, Amir
Button Pressed, 2020-06-23T19:59:43.374006600, Play
Button Pressed, 2020-06-23T19:59:45.720915500, nurse
quit, 2020-06-23T20:01:02.378775400, quit the game
login, 2020-06-23T20:01:05.916851700,  as  
Button Pressed, 2020-06-23T20:01:07.067338800, Collections
Button Pressed, 2020-06-23T20:01:10.295424800, Amir
Button Pressed, 2020-06-23T20:01:11.759375600, Play
Button Pressed, 2020-06-23T20:01:14.164934600, mana jump
Button Pressed, 2020-06-23T20:01:18.507812600, end turn
Next Turn, 2020-06-23T20:01:18.508810900, 
Button Pressed, 2020-06-23T20:01:18.676372200, end turn
Next Turn, 2020-06-23T20:01:18.677369400, 
Button Pressed, 2020-06-23T20:01:18.857877200, end turn
Next Turn, 2020-06-23T20:01:18.857877200, 
Button Pressed, 2020-06-23T20:01:22.308525900, Goldshire Footman
Card Played, 2020-06-23T20:01:22.309524200, Goldshire Footman
Button Pressed, 2020-06-23T20:01:23.410363800, Living Monument
Button Pressed, 2020-06-23T20:01:24.325911800, Living Monument
Button Pressed, 2020-06-23T20:01:25.316695300, Living Monument
Button Pressed, 2020-06-23T20:01:25.485245100, Living Monument
Button Pressed, 2020-06-23T20:01:25.673741500, Living Monument
quit, 2020-06-23T20:02:15.540295400, quit the game
login, 2020-06-23T20:02:58.790576,  as  
Button Pressed, 2020-06-23T20:03:00.048785100, Collections
Button Pressed, 2020-06-23T20:03:03.522791800, Amir
Button Pressed, 2020-06-23T20:03:05.031243900, Play
Button Pressed, 2020-06-23T20:03:07.593635100, mana jump
Button Pressed, 2020-06-23T20:03:10.685624200, end turn
Next Turn, 2020-06-23T20:03:10.687615700, 
Button Pressed, 2020-06-23T20:03:10.886122200, end turn
Next Turn, 2020-06-23T20:03:10.887099600, 
Button Pressed, 2020-06-23T20:03:11.071665100, end turn
Next Turn, 2020-06-23T20:03:11.072598700, 
Button Pressed, 2020-06-23T20:03:11.260086900, end turn
Next Turn, 2020-06-23T20:03:11.260086900, 
Button Pressed, 2020-06-23T20:03:15.742273700, end turn
Next Turn, 2020-06-23T20:03:15.743287100, 
Button Pressed, 2020-06-23T20:03:15.963680800, end turn
Next Turn, 2020-06-23T20:03:15.964721, 
Button Pressed, 2020-06-23T20:03:16.191113, end turn
Next Turn, 2020-06-23T20:03:16.192080500, 
Button Pressed, 2020-06-23T20:03:20.114007500, Strength in Numbers
Card Played, 2020-06-23T20:03:20.115005400, Strength in Numbers
Button Pressed, 2020-06-23T20:03:22.446899500, Strength in Numbers
Card Played, 2020-06-23T20:03:22.447895500, Strength in Numbers
Button Pressed, 2020-06-23T20:03:31.806518, Goldshire Footman
Card Played, 2020-06-23T20:03:31.806518, Goldshire Footman
Button Pressed, 2020-06-23T20:03:32.823466900, Sunreaver Warmage
Card Played, 2020-06-23T20:03:32.824447500, Sunreaver Warmage
Button Pressed, 2020-06-23T20:03:39.156551400, end turn
Next Turn, 2020-06-23T20:03:39.157565100, 
Button Pressed, 2020-06-23T20:03:39.894923800, end turn
Next Turn, 2020-06-23T20:03:39.895938300, 
Button Pressed, 2020-06-23T20:03:43.072914300, Goldshire Footman
Card Played, 2020-06-23T20:03:43.072914300, Goldshire Footman
Button Pressed, 2020-06-23T20:04:06.542006800, Poisoned Dagger
Card Played, 2020-06-23T20:04:06.543004700, Poisoned Dagger
quit, 2020-06-23T20:10:11.853802500, quit the game
login, 2020-06-23T20:10:18.187195100,  as  
Button Pressed, 2020-06-23T20:10:20.136483800, Collections
Button Pressed, 2020-06-23T20:10:22.929729200, Amir
Button Pressed, 2020-06-23T20:10:24.285382300, Play
Button Pressed, 2020-06-23T20:10:26.444777300, nurse
Button Pressed, 2020-06-23T20:10:30.203943400, end turn
Next Turn, 2020-06-23T20:10:30.204942100, 
Button Pressed, 2020-06-23T20:10:30.470278100, end turn
Next Turn, 2020-06-23T20:10:30.471288700, 
Button Pressed, 2020-06-23T20:10:30.640822500, end turn
Next Turn, 2020-06-23T20:10:30.640822500, 
Button Pressed, 2020-06-23T20:10:34.020030500, end turn
Next Turn, 2020-06-23T20:10:34.021029200, 
Button Pressed, 2020-06-23T20:10:52.479748600, Strength in Numbers
Card Played, 2020-06-23T20:10:52.481737700, Strength in Numbers
Button Pressed, 2020-06-23T20:10:58.875457100, Goldshire Footman
Card Played, 2020-06-23T20:10:58.876457400, Goldshire Footman
Button Pressed, 2020-06-23T20:10:59.895894100, Living Monument
Button Pressed, 2020-06-23T20:11:00.328156100, Living Monument
quit, 2020-06-23T20:12:12.515318, quit the game
login, 2020-06-23T20:12:21.945593700,  as  
Button Pressed, 2020-06-23T20:12:23.351829400, Collections
Button Pressed, 2020-06-23T20:12:26.923660600, New Deck 1
Button Pressed, 2020-06-23T20:12:29.795423400, Play
Button Pressed, 2020-06-23T20:12:32.455319500, nurse
Button Pressed, 2020-06-23T20:12:37.669938200, Goldshire Footman
Card Played, 2020-06-23T20:12:37.670936600, Goldshire Footman
quit, 2020-06-23T20:13:00.852759600, quit the game
login, 2020-06-23T20:13:09.267111100,  as  
Button Pressed, 2020-06-23T20:13:10.479254400, Collections
Button Pressed, 2020-06-23T20:14:57.557739, Amir
Button Pressed, 2020-06-23T20:14:58.816793100, Play
Button Pressed, 2020-06-23T20:15:00.893744500, draw twice
Button Pressed, 2020-06-23T20:15:02.754440500, Goldshire Footman
Card Played, 2020-06-23T20:15:02.755438, Goldshire Footman
quit, 2020-06-23T20:18:47.968341400, quit the game
login, 2020-06-23T20:18:55.321624500,  as  
Button Pressed, 2020-06-23T20:18:56.702732, Collections
Button Pressed, 2020-06-23T20:18:59.911304200, Amir
Button Pressed, 2020-06-23T20:19:01.575011500, Play
Button Pressed, 2020-06-23T20:19:03.772971200, zombie
Button Pressed, 2020-06-23T20:19:07.022468400, end turn
Next Turn, 2020-06-23T20:19:07.023451700, 
Button Pressed, 2020-06-23T20:19:07.252837900, end turn
Next Turn, 2020-06-23T20:19:07.253835400, 
Button Pressed, 2020-06-23T20:19:07.497216600, end turn
Next Turn, 2020-06-23T20:19:07.498214200, 
Button Pressed, 2020-06-23T20:19:07.723610600, end turn
Next Turn, 2020-06-23T20:19:07.724577300, 
Button Pressed, 2020-06-23T20:19:07.934054300, end turn
Next Turn, 2020-06-23T20:19:07.935032100, 
Button Pressed, 2020-06-23T20:19:08.174374200, end turn
Next Turn, 2020-06-23T20:19:08.176376800, 
Button Pressed, 2020-06-23T20:19:11.711055100, Gnomish Army Knife
Card Played, 2020-06-23T20:19:11.712051900, Gnomish Army Knife
Button Pressed, 2020-06-23T20:19:13.986014900, end turn
Next Turn, 2020-06-23T20:19:13.986014900, 
Button Pressed, 2020-06-23T20:19:14.241331300, end turn
Next Turn, 2020-06-23T20:19:14.242330400, 
Button Pressed, 2020-06-23T20:19:14.270274, end turn
Next Turn, 2020-06-23T20:19:14.270274, 
Button Pressed, 2020-06-23T20:19:17.181833400, Goldshire Footman
Card Played, 2020-06-23T20:19:17.182842700, Goldshire Footman
Button Pressed, 2020-06-23T20:19:22.587297900, Goldshire Footman
Card Played, 2020-06-23T20:19:22.587297900, Goldshire Footman
Button Pressed, 2020-06-23T20:19:31.684358, end turn
Next Turn, 2020-06-23T20:19:31.684358, 
Button Pressed, 2020-06-23T20:19:33.919774, Living Monument
Card Played, 2020-06-23T20:19:33.919774, Living Monument
Button Pressed, 2020-06-23T20:19:39.817657100, Strength in Numbers
Button Pressed, 2020-06-23T20:19:41.252399, end turn
Next Turn, 2020-06-23T20:19:41.253413900, 
Button Pressed, 2020-06-23T20:19:43.303106800, Strength in Numbers
Card Played, 2020-06-23T20:19:43.303106800, Strength in Numbers
Button Pressed, 2020-06-23T20:19:48.518539700, Poisoned Dagger
Card Played, 2020-06-23T20:19:48.518539700, Poisoned Dagger
Button Pressed, 2020-06-23T20:19:51.808475100, Gnomish Army Knife
Card Played, 2020-06-23T20:19:51.809488400, Gnomish Army Knife
Button Pressed, 2020-06-23T20:19:55.543974200, end turn
Next Turn, 2020-06-23T20:19:55.545020400, 
Button Pressed, 2020-06-23T20:19:55.752443400, end turn
Next Turn, 2020-06-23T20:19:55.753431900, 
Button Pressed, 2020-06-23T20:19:58.344465800, Sunreaver Warmage
Card Played, 2020-06-23T20:19:58.345463400, Sunreaver Warmage
Button Pressed, 2020-06-23T20:20:11.661261900, Poisoned Dagger
Card Played, 2020-06-23T20:20:11.662277600, Poisoned Dagger
Button Pressed, 2020-06-23T20:20:13.965459800, end turn
Next Turn, 2020-06-23T20:20:13.966483, 
Button Pressed, 2020-06-23T20:20:14.498365900, end turn
Next Turn, 2020-06-23T20:20:14.498365900, 
Button Pressed, 2020-06-23T20:20:15.924563700, Living Monument
Card Played, 2020-06-23T20:20:15.924563700, Living Monument
Button Pressed, 2020-06-23T20:20:18.943066500, end turn
Next Turn, 2020-06-23T20:20:18.944064400, 
Button Pressed, 2020-06-23T20:20:19.191438500, end turn
Next Turn, 2020-06-23T20:20:19.192409600, 
Button Pressed, 2020-06-23T20:20:20.747809300, Sunreaver Warmage
Card Played, 2020-06-23T20:20:20.747809300, Sunreaver Warmage
Button Pressed, 2020-06-23T20:20:33.361360300, Strength in Numbers
Card Played, 2020-06-23T20:20:33.362359, Strength in Numbers
quit, 2020-06-23T20:20:49.856244800, quit the game
login, 2020-06-23T20:22:11.190442900,  as  
Button Pressed, 2020-06-23T20:22:12.589556500, Collections
Button Pressed, 2020-06-23T20:22:15.806113, Amir
Button Pressed, 2020-06-23T20:22:16.936980500, Play
Button Pressed, 2020-06-23T20:22:19.132215900, draw twice
Button Pressed, 2020-06-23T20:22:23.202192100, end turn
Next Turn, 2020-06-23T20:22:23.203209, 
Button Pressed, 2020-06-23T20:22:23.429584800, end turn
Next Turn, 2020-06-23T20:22:23.430583100, 
Button Pressed, 2020-06-23T20:22:23.634038900, end turn
Next Turn, 2020-06-23T20:22:23.635068500, 
Button Pressed, 2020-06-23T20:22:25.278347800, Sunreaver Warmage
Button Pressed, 2020-06-23T20:22:26.504733900, Goldshire Footman
Card Played, 2020-06-23T20:22:26.505729400, Goldshire Footman
Button Pressed, 2020-06-23T20:22:31.345554600, Strength in Numbers
Card Played, 2020-06-23T20:22:31.346543500, Strength in Numbers
Button Pressed, 2020-06-23T20:22:32.824897, Sunreaver Warmage
Button Pressed, 2020-06-23T20:22:34.505120700, end turn
Next Turn, 2020-06-23T20:22:34.506158100, 
Button Pressed, 2020-06-23T20:22:36.642045700, Goldshire Footman
Card Played, 2020-06-23T20:22:36.642045700, Goldshire Footman
quit, 2020-06-23T20:31:44.017450, quit the game
login, 2020-06-23T20:35:26.462414,  as  
Button Pressed, 2020-06-23T20:35:28.717082600, Collections
Button Pressed, 2020-06-23T20:35:32.895047, Amir
Button Pressed, 2020-06-23T20:35:34.123931500, Play
Button Pressed, 2020-06-23T20:35:36.726657300, mana jump
Button Pressed, 2020-06-23T20:35:39.667997700, end turn
Next Turn, 2020-06-23T20:35:39.669003500, 
Button Pressed, 2020-06-23T20:35:40.385965200, end turn
Next Turn, 2020-06-23T20:35:40.385965200, 
Button Pressed, 2020-06-23T20:35:40.567480400, end turn
Next Turn, 2020-06-23T20:35:40.567480400, 
Button Pressed, 2020-06-23T20:35:43.018900600, Goldshire Footman
Card Played, 2020-06-23T20:35:43.019897800, Goldshire Footman
Button Pressed, 2020-06-23T20:35:57.837926600, end turn
Next Turn, 2020-06-23T20:35:57.838958100, 
Button Pressed, 2020-06-23T20:36:00.303841200, Sunreaver Warmage
Card Played, 2020-06-23T20:36:00.303841200, Sunreaver Warmage
quit, 2020-06-23T20:36:06.410075400, quit the game
login, 2020-06-23T20:45:37.998362500,  as  
Button Pressed, 2020-06-23T20:45:39.014734700, Collections
Button Pressed, 2020-06-23T20:45:42.821459600, New Deck 1
Button Pressed, 2020-06-23T20:45:44.521340700, Play
Button Pressed, 2020-06-23T20:45:47.306171300, nurse
Button Pressed, 2020-06-23T20:45:53.625805, Goldshire Footman
Card Played, 2020-06-23T20:45:53.626802600, Goldshire Footman
quit, 2020-06-23T20:46:06.876806600, quit the game
login, 2020-06-23T20:46:11.638795900,  as  
Button Pressed, 2020-06-23T20:46:12.759995400, Collections
Button Pressed, 2020-06-23T20:46:16.337725700, New Deck 1
Button Pressed, 2020-06-23T20:46:18.521569100, Play
Button Pressed, 2020-06-23T20:46:21.903723, draw twice
Button Pressed, 2020-06-23T20:46:29.742177300, Goldshire Footman
Card Played, 2020-06-23T20:46:29.744198500, Goldshire Footman
quit, 2020-06-23T20:46:42.175868700, quit the game
login, 2020-06-23T20:48:12.616829600,  as  
Button Pressed, 2020-06-23T20:48:14.299702100, Play
Button Pressed, 2020-06-23T20:48:18.852939700, Amir
